daynum,depth_calculated,year4,sample_time,wtaer_temp,pH,chlorophylla,opt_do2,opt_dosat_raw
84,9,2012,NA,5.278571469443186,5.997142655508855,3.9228571823665086,9.451428413391113,79.52857208251953
84,10,2012,NA,5.107142925262451,5.977142674582344,4.931428432464599,9.298571314130509,77.84285736083984
84,11,2012,NA,5.007143020629886,5.965714318411688,4.999999931880406,9.169999803815568,76.61428615025112
84,12,2012,NA,4.907142843518939,5.961428437914168,5.517142840794156,8.785714149475098,73.2000002179827
84,13,2012,NA,4.738571371350968,5.915714195796421,4.7842857497079025,8.484285627092632,70.37142889840263
84,14,2012,NA,4.6742856161935,5.9057143075125555,4.608571461268834,8.332857131958006,69
84,15,2012,NA,4.617142881665909,5.877142769949776,4.709999970027378,8.154285703386579,67.41428593226841
84,16,2012,NA,4.612500011920927,5.856249988079071,4.188749969005585,7.712499976158142,63.75000095367431
84,17,2012,NA,4.58500003814697,5.8307142257690385,3.484285729272025,7.177142824445451,59.2857140132359
85,0,2012,NA,8.195000171661375,6,0.71000000834465,10.1599998474121,91.95000076293945
85,1,2012,NA,8.113395322755325,5.973302317774574,0.7997209307759308,10.137581390558285,91.55674481059229
85,2,2012,NA,7.985714231218609,5.958571434020994,0.5985714367457798,10.14428574698313,91.32857077462333
85,3,2012,NA,7.074285711560929,5.962857110159736,0.6942857163293019,10.0557143347604,88.52857099260603
85,4,2012,NA,6.038571493966237,5.961428506033761,0.974285721778869,9.902857099260611,84.94285692487445
85,5,2012,NA,5.884285722460069,5.987142699105397,1.104285734040397,9.874285697937012,84.34285845075334
85,6,2012,NA,5.657777733272977,5.942222224341501,1.4055555264155066,9.704444355434841,82.44444359673395
85,7,2012,NA,5.60000010899135,5.96999979019165,1.6442857469831187,9.757142884390694,82.72857121058873
85,8,2012,NA,5.428571360451836,5.96000003814697,1.95000001362392,9.674285616193501,81.68571254185268
85,9,2012,NA,5.26428590502058,5.948571273258757,2.54571431023734,9.548571586608885,80.25714220319476
85,10,2012,NA,5.061111185285779,5.8977777693006725,3.584444443384808,9.214444372389051,77.08888922797308
85,11,2012,NA,5.0128572327750085,5.895714282989505,4.230000019073487,9.127142769949778,76.24285779680524
85,12,2012,NA,4.840000084468295,5.86142860140119,5.454285757882254,8.828571455819265,73.44285692487445
85,13,2012,NA,4.784285817827499,5.832857131958004,5.818571295057023,8.74142851148333,72.5999995640346
85,14,2012,NA,4.757143020629886,5.8100000108991345,6.2428571156093025,8.527142797197616,70.78571428571429
85,15,2012,NA,4.665555530124243,5.768888897365994,5.572222232818604,8.022222306993273,66.42222256130643
85,16,2012,NA,4.634545499628243,5.759090943769975,4.822727290066807,7.8890908414667305,65.2454535744407
85,17,2012,NA,4.618571383612498,5.736428601401194,4.532857179641724,7.5757143156869065,62.649999891008655
